LAC,X,Y
Bourget,5.8694679,45.7423213
Guéry,2.8218651,45.6157996
Blanchemer,6.9765605,48.0176557
Ilay,5.8979971,46.6272323
Lamoura,5.9814784,46.3951639
Landie,2.7660362,45.4222174
Rousses,6.0894283,46.504627
Corbeaux,6.9041119,47.9908534
Abbaye,5.9117801,46.5307023
Val,5.8146593,46.6269625
Longemer,6.951197,48.0699151
Etival,5.8039476,46.5035369
Nantua,5.5865618,46.162347
Montcineyre,2.8958569,45.4597956
Barterand,5.7441344,45.7897112
Chalain,5.790402,46.6705376
Godivelle,2.9167206,45.3870975
Entressen,4.9136651,43.6047011
Aydat,2.9858563,45.6642487
Gérardmer,6.8521804,48.0697435
Aiguebelette,5.7999602,45.5526875
Isaby,0.0227405,42.9512991
Arratille,-0.1750923,42.8010075
Barroude,0.144196,42.73122
Mouriscot,-1.5584623,43.456008
Marion,-1.5484904,43.4675652
Alate,1.4060976,42.7763977
Ayes,1.0639089,42.8442865
Aulnes,4.7899143,43.5924296
Besse,2.3586236,44.1919076
Bonlieu,5.8728321,46.5866384
Bordères,0.4605029,42.8598064
Chéserys,6.9001556,45.9849913
Espingo,0.4954724,42.7285085
Tazenat,2.9898208,45.9802702
Gentau,-0.4877342,42.8483166
Maix,7.0749268,48.4757113
Mont Coua,6.6386576,45.3178144
Peyrelade,0.1143228,42.9430394
Roumazet,1.4352819,42.6337185
Saint-Point,6.3176818,46.8201287
Serviere,2.8587604,45.6462063
Soucarrane,1.4344528,42.6263943
Parentis,-1.1741254,44.3546061
Gardelle,1.4323539,42.6469549
Cazaux,-1.1595839,44.4876336
Port Bielh,0.1872506,42.872665
Blanc,6.9660963,45.5792969
Verdet,6.9546636,45.5764981
Vert,6.7530081,45.9500309
Léman,6.4920919,46.4442584
Crégut,2.677445,45.409235
Balcère,2.053416,42.589855
