LAC,ALTITUDE,DEPTH_MAX,LAKE_SURFACE,BV_SURFACE
Abbaye,910,19.5,82,245.7636
Aiguebelette,374,71,545,5306.1896
Alate,1868,10,2,NA
Allos,2230,51,54,447.1491
Ambleon,712,10,5.58,996.6417
Anterne,2061,13.2,11,246.4458
Arratille,2247,12,16,329.92158
Aulnes,12,NA,111.11,213.8347
Aumar,2192,22.8,26,124.6686
Aydat,825,15,60.3,2551.11343
Ayes,1694,10,1.7,NA
Barroude,2355,9,9.4,484.04284
Barterand,295,15,21,793.1291
Besse,245,10,2,163.2566
Blanc,2850,40,7.6,21.9873102
Blanchemer,984,15,9,208.891485
Bonlieu,803,14,17,255.4624
Bordères,1765,18,6.5,NA
Bourget,231,147,4396,57408.053
Brevent,2125,20,2.95,39.76595
Cazaux,12,22.3,5608,19744.3663
Chalain,490,32,232,3468.3687
Chavoley,347,17,13.4,142.9244
Chéserys,2135,6,0.4,35.5963
Clairvaux,534,20,56,1940.06535
Corbeaux,887,27,10,91.777446
Crégut,900,26,35.5,8999.6928699219
Entressen,36,8,92,320.2226
Espingo,1882,8,7.6,NA
Etival,795,10,15,391.45747
Genin,850,18,8.15,348.520704
Gentau,1950,20,9.3,205.07428
Gérardmer,660,38,116,1364.9397
Godivelle,1239,44,13.8,12.2749
Tazenat,630,66,32.9,102.7503
Guéry,1246,20,26.8,790.0919
Ilay,778,32,72,165.66825
Isaby,1562,6,6.3,755.799059
Gardelle,2387,27,5.8,NA
Lamoura,1156,9,3.5,1064.7574
Landie ,1000,21,23.9,298.4196
Lauzanier,2284,7.5,3,464.7522098633
Longemer,736,34,76,665.18611
Maclu (Grand),779,25,22,190.12601
Maix,678,15,1.5,17.193222
Marion,50,22.8,3.8,46.3311
Mont Coua,2797,10,2.43,73.4815783203
Montcineyre,1174,18,39.7,142.84982
Mouriscot,21,10,23,119.0691
Nantua,475,43,141,1639.7798
Narlay,748,40,41,207.04663
Noir,2600,19,2,11.431698
Paladru,492,36,335,4559.7424
Parentis,19,20,3502,53739.1128
Peyrelade,1919,28,9.7,NA
Port Bielh,2313,19,16.4,234.45546
Remoray,850,27,85,2486.3582
Roumazet,2163,10,1.8,22.3655
Rousses,1059,18,90,2143.6896
Saint-Point,850,42,398,21598.193
Serviere,1200,29,16.2,49.4313
Soucarrane,2291,10,4.4,100.5681
Val,520,25,64,2038.6048
Balcère,1765,14,4.5,NA
Verdet,2736,12,1.9,56.1994536011
Vert,1266,9,1.4,176.2901
Léman,372,309,58100,739500
